personLabel,birthPlaceLabel,birthCountryLabel,universityLabel,employerLabel
Lennart Hirschfeldt,Engelbrekt church parish,Sweden,Uppsala University,Upsala Nya Tidning
Kakan Hermansson,Lund,Sweden,Konstfack,Sveriges Television
Sten Lindroth,Lunds Cathedral Assembly,Sweden,Uppsala University,Stora Kopparbergs bergslags aktiebolag
Ernst Rosén,Orrefors,Sweden,Uppsala University,Vestmanlands Läns Tidning
Ernst Rosén,Orrefors,Sweden,Uppsala University,Vestmanlands Läns Tidning
Ebbe Berg,Billesholm,Sweden,Konstfack,Vattenfall
Yngve Svalander,Gothenburg,Sweden,Konstfack,Upsala Nya Tidning
Gun Wahrenby,Solna,Sweden,Konstfack,Swedish Cooperative Union
Gunnar Widholm,Stockholm,Sweden,Konstfack,Stockholms Dagblad
Gun Wahrenby,Solna,Sweden,Konstfack,Swedish Cooperative Union
Ebbe Berg,Billesholm,Sweden,Konstfack,Vattenfall
Gunnar Widholm,Stockholm,Sweden,Konstfack,Stockholms Dagblad
Ebbe Berg,Billesholm,Sweden,Konstfack,Vattenfall
Gun Wahrenby,Solna,Sweden,Konstfack,Swedish Cooperative Union
Carl Silfversparre,Karlskoga Church Parish,Sweden,Konstfack,Ericsson
Daniel Alling,Marstrand,Sweden,Uppsala University,Sveriges Radio
Astrid Sampe,Nacka församling,Sweden,Konstfack,Knoll
Astrid Sampe,Nacka församling,Sweden,Konstfack,Knoll
Carl Silfversparre,Karlskoga Church Parish,Sweden,Konstfack,Ericsson
Gunnar Widholm,Stockholm,Sweden,Konstfack,Stockholms Dagblad
Astrid Sampe,Nacka församling,Sweden,Konstfack,Knoll
Carl Silfversparre,Karlskoga Church Parish,Sweden,Konstfack,Ericsson
Ann-Sofie Johansson,Ronneby,Sweden,University of Gothenburg,H&M
Carina Bergfeldt,Götene,Sweden,University of Gothenburg,Sveriges Television
Efraim Davidi,La Plata,Argentina,University of Gothenburg,Davar
Peter Kullring,Svängsta,Sweden,University of Gothenburg,Sveriges Television
Peter Kullring,Svängsta,Sweden,University of Gothenburg,Sveriges Television
Peter Kullring,Svängsta,Sweden,University of Gothenburg,Sveriges Radio
Lars-Eric Aaro,Vittangi,Sweden,Luleå University of Technology,LKAB
Lars-Eric Aaro,Vittangi,Sweden,Luleå University of Technology,LKAB
Ann-Sofie Johansson,Ronneby,Sweden,Lund University,H&M
Louise Epstein,Malmö,Sweden,Lund University,Sveriges Radio
Tony Mendes,Angola,Angola,Lund University,Sveriges Television
Carina Åkerström,Kalmar,Sweden,Lund University,Handelsbanken
Carina Åkerström,Kalmar,Sweden,Lund University,Handelsbanken
Tony Mendes,Angola,Angola,Lund University,3
Johan Torgeby,Scania,Sweden,Lund University,SEB Group
Robin Linderborg,Västerås,Sweden,Lund University,Sveriges Television
Robin Linderborg,Västerås,Sweden,Lund University,Hallandsposten
Per Adam Wallmark,Källsjö parish,Sweden,Lund University,Post- och Inrikes Tidningar
Ernst Rosén,Orrefors,Sweden,Lund University,Stockholms Dagblad
Ernst Rosén,Orrefors,Sweden,Lund University,Stockholms Dagblad
Christel Tholse Willers,Malmö,Sweden,Lund University,Sveriges Television
Christel Tholse Willers,Malmö,Sweden,Lund University,Sveriges Utbildningsradio
Lars Hansson,Halmstad,Sweden,Lund University,Ericsson
Lars Hansson,Halmstad,Sweden,Lund University,Sveriges Utbildningsradio
Ernst Rosén,Orrefors,Sweden,Lund University,Vestmanlands Läns Tidning
Ernst Rosén,Orrefors,Sweden,Lund University,Vestmanlands Läns Tidning
Gunnar Blom,Stockholm,Sweden,Stockholm University,Perstorp AB
Tony Mendes,Angola,Angola,Stockholm University,Sveriges Television
Tony Mendes,Angola,Angola,Stockholm University,3
Tord Magnuson,Stockholm,Sweden,Stockholm University,SEB Group
Thomas Hakon Grönwall,Dylta bruk,Sweden,Stockholm University,AT&T Corporation
Thomas Hakon Grönwall,Dylta bruk,Sweden,Stockholm University,Carnegie Steel Company
Antony Burgmans,Rotterdam,Netherlands,Stockholm University,AkzoNobel
Antony Burgmans,Rotterdam,Netherlands,Stockholm University,Unilever
Antony Burgmans,Rotterdam,Netherlands,Stockholm University,Unilever
Antony Burgmans,Rotterdam,Netherlands,Stockholm University,AkzoNobel
