personLabel,employerLabel,cityLabel,countryLabel
Ann-Sofie Johansson,H&M,Stockholm,Sweden
Robert Olsson,Sveriges Television,Stockholm,Sweden
Peter Kullring,Sveriges Television,Stockholm,Sweden
Peter Kullring,Sveriges Television,Stockholm,Sweden
Peter Kullring,Sveriges Radio,Stockholm,Sweden
Kristina Wallenius,AstraZeneca,Paris Saint-Germain F.C.,France
Kristina Wallenius,AstraZeneca,Paris Saint-Germain F.C.,France
Carina Bergfeldt,Sveriges Television,Stockholm,Sweden
Anna Pettersen,AstraZeneca,Paris Saint-Germain F.C.,France
Efraim Davidi,Davar,Tel Aviv,Israel
Magnus Jakobsson,St. Luke's,London,United Kingdom
Robin Linderborg,Sveriges Television,Stockholm,Sweden
Tony Mendes,Sveriges Television,Stockholm,Sweden
Ann-Sofie Johansson,H&M,Stockholm,Sweden
Robin Linderborg,Hallandsposten,Halmstad,Sweden
Tony Mendes,3,Hong Kong,People's Republic of China
Carina Åkerström,Handelsbanken,Stockholm,Sweden
Carina Åkerström,Handelsbanken,Stockholm,Sweden
Lina Brouneus,Netflix,Los Gatos,United States of America
Egon Persson,Novo Nordisk,Bagsværd,Denmark
Louise Epstein,Sveriges Radio,Stockholm,Sweden
Johan Torgeby,SEB Group,Stockholm,Sweden
Johan Åkerman,Freescale Semiconductor,Austin,United States of America
Christel Tholse Willers,Sveriges Television,Stockholm,Sweden
Christel Tholse Willers,Sveriges Utbildningsradio,Stockholm,Sweden
Anders Blom,Synopsys,Mountain View,United States of America
Per Adam Wallmark,Post- och Inrikes Tidningar,Stockholm,Sweden
Ernst Rosén,Stockholms Dagblad,Stockholm,Sweden
Ernst Rosén,Stockholms Dagblad,Stockholm,Sweden
Ernst Rosén,Vestmanlands Läns Tidning,Västerås,Sweden
Ernst Rosén,Vestmanlands Läns Tidning,Västerås,Sweden
Lars Hansson,Ericsson,Stockholm,Sweden
Lars Hansson,Sveriges Utbildningsradio,Stockholm,Sweden
Morana Vitezic,Lundbeck,Valby,Denmark
Hanna Stjärne,Sveriges Television,Stockholm,Sweden
Karin Bjerre,Chr. Hansen Holding,Hørsholm,Denmark
Hanna Stjärne,Upsala Nya Tidning,Uppsala,Sweden
Lasse Folkersen,Novo Nordisk,Bagsværd,Denmark
Gölin Carina Gerken Christiansen,Svenska Dagbladet,Stockholm,Sweden
Moa Hamré,Sweco,Stockholm,Sweden
Bernt Holmgren,Sveriges Utbildningsradio,Stockholm,Sweden
Kim Waldén,Groupe Bull,Les Clayes-sous-Bois,France
Ari Koivisto,Orion Corporation,Niittykumpu,Finland
Ari Koivisto,Orion Corporation,Niittykumpu,Finland
Per Gudmundson,Svenska Dagbladet,Stockholm,Sweden
Per Gudmundson,Sveriges Television,Stockholm,Sweden
Julie E Yonker,Procter & Gamble,Cincinnati,United States of America
Thomas Hakon Grönwall,AT&T Corporation,Bedminster,United States of America
Thomas Hakon Grönwall,Carnegie Steel Company,Pittsburgh,United States of America
Alice Bah Kuhnke,AFRY,Solna Municipality,Sweden
Tord Magnuson,SEB Group,Stockholm,Sweden
Tony Mendes,Sveriges Television,Stockholm,Sweden
